customerkey,FirstName,LastName,MiddleName,AddressLine1,AddressLine2,City,StateProvinceCode,StateProvinceName,EnglishCountryRegionName,CountryRegionCode,PostalCode,Phone,maritalstatus,EmailAddress,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,CommuteDistance,Region,Age,BikeBuyer,ClothingBuyer,AccessoryBuyer,ComponentBuyer
11012,Lauren,Walker,M,4785 Scott Street,NULL,Bremerton,WA,Washington,United States,US,98312,717-555-0164,Married,lauren41@adventure-works.com,Female,100000,2,0,Bachelors,Management,1,2,1-2 Miles,North America,36,0,0,1,0
11013,Ian,Jenkins,M,7902 Hudson Ave.,NULL,Lebanon,OR,Oregon,United States,US,97355,817-555-0185,Married,ian47@adventure-works.com,Male,100000,2,0,Bachelors,Management,1,3,0-1 Miles,North America,36,0,0,1,0
11014,Sydney,Bennett,NULL,9011 Tank Drive,NULL,Redmond,WA,Washington,United States,US,98052,431-555-0156,Single,sydney23@adventure-works.com,Female,100000,3,0,Bachelors,Management,0,3,1-2 Miles,North America,41,0,1,1,0
11015,Chloe,Young,NULL,244 Willow Pass Road,NULL,Burbank,CA,California,United States,US,91502,208-555-0142,Single,chloe23@adventure-works.com,Female,30000,0,0,Partial College,Skilled Manual,0,1,5-10 Miles,North America,31,1,0,1,0
11016,Wyatt,Hill,L,9666 Northridge Ct.,NULL,Imperial Beach,CA,California,United States,US,91932,135-555-0171,Married,wyatt32@adventure-works.com,Male,30000,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,30,1,0,1,0
11019,Luke,Lal,L,7832 Landing Dr,NULL,Langley,BC,British Columbia,Canada,CA,V3A 4R2,262-555-0112,Single,luke18@adventure-works.com,Male,40000,0,0,High School,Skilled Manual,0,2,5-10 Miles,North America,32,0,1,1,0
11020,Jordan,King,C,7156 Rose Dr.,NULL,Metchosin,BC,British Columbia,Canada,CA,V9,550-555-0163,Single,jordan73@adventure-works.com,Male,40000,0,0,High School,Skilled Manual,0,2,1-2 Miles,North America,31,1,0,1,0
11021,Destiny,Wilson,NULL,8148 W. Lake Dr.,NULL,Beaverton,OR,Oregon,United States,US,97005,622-555-0158,Single,destiny7@adventure-works.com,Female,40000,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,31,1,0,1,0
11022,Ethan,Zhang,G,1769 Nicholas Drive,NULL,Bellingham,WA,Washington,United States,US,98225,589-555-0185,Married,ethan20@adventure-works.com,Male,40000,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,31,1,0,1,0
11023,Seth,Edwards,M,4499 Valley Crest,NULL,Bellflower,CA,California,United States,US,90706,452-555-0188,Married,seth46@adventure-works.com,Male,40000,0,0,Partial College,Skilled Manual,1,1,1-2 Miles,North America,31,0,1,1,0
11024,Russell,Xie,NULL,8734 Oxford Place,NULL,Concord,CA,California,United States,US,94519,746-555-0186,Married,russell7@adventure-works.com,Male,60000,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,31,0,0,1,0
11036,Jennifer,Russell,C,3981 Augustine Drive,NULL,National City,CA,California,United States,US,91950,115-555-0183,Married,jennifer93@adventure-works.com,Female,60000,0,0,Partial College,Skilled Manual,1,2,1-2 Miles,North America,31,1,0,1,0
11037,Chloe,Garcia,M,8915 Woodside Way,NULL,Cliffside,BC,British Columbia,Canada,CA,V8Y 1L1,229-555-0112,Single,chloe27@adventure-works.com,Female,40000,0,0,Partial High School,Clerical,0,2,5-10 Miles,North America,32,1,0,1,0
11040,Jesse,Murphy,NULL,3350 Kingswood Circle,NULL,Tacoma,WA,Washington,United States,US,98403,961-555-0176,Married,jesse15@adventure-works.com,Male,30000,0,0,Partial College,Skilled Manual,1,2,1-2 Miles,North America,32,1,1,1,0
11041,Amanda,Carter,M,5826 Escobar,NULL,Glendale,CA,California,United States,US,91203,295-555-0145,Married,amanda53@adventure-works.com,Female,60000,0,0,Partial College,Skilled Manual,1,2,1-2 Miles,North America,32,1,1,1,0
11042,Megan,Sanchez,J,1397 Paraiso Ct.,NULL,Los Angeles,CA,California,United States,US,90012,404-555-0199,Married,megan28@adventure-works.com,Female,70000,0,0,Partial College,Skilled Manual,1,2,0-1 Miles,North America,32,1,1,0,0
11043,Nathan,Simmons,M,1170 Shaw Rd,NULL,Glendale,CA,California,United States,US,91203,296-555-0181,Married,nathan11@adventure-works.com,Male,60000,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,34,0,1,1,0
11049,Carol,Rai,C,6064 Madrid,NULL,Chula Vista,CA,California,United States,US,91910,654-555-0180,Single,carol8@adventure-works.com,Female,40000,0,0,Partial High School,Clerical,1,2,5-10 Miles,North America,29,0,0,1,0
11053,Ana,Price,E,1660 Stonyhill Circle,NULL,San Diego,CA,California,United States,US,92102,859-555-0113,Married,ana0@adventure-works.com,Female,60000,0,0,Partial College,Skilled Manual,0,2,1-2 Miles,North America,29,1,0,1,0
11062,Noah,Powell,D,9794 Marion Ct,NULL,Portland,OR,Oregon,United States,US,97205,767-555-0113,Married,noah5@adventure-works.com,Male,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,34,1,0,1,0
11063,Angela,Murphy,NULL,4927 Virgil Street,# 21,Redmond,WA,Washington,United States,US,98052,451-555-0162,Single,angela41@adventure-works.com,Female,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,35,1,1,1,0
11064,Chase,Reed,NULL,2721 Alexander Pl.,NULL,Downey,CA,California,United States,US,90241,892-555-0184,Married,chase21@adventure-works.com,Male,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,34,1,0,1,0
11065,Jessica,Henderson,NULL,9343 Ironwood Way,NULL,La Jolla,CA,California,United States,US,92806,278-555-0186,Married,jessica29@adventure-works.com,Female,60000,0,0,Partial College,Skilled Manual,0,2,1-2 Miles,North America,36,0,0,1,0
11066,Grace,Butler,T,4739 Garden Ave.,NULL,Lebanon,OR,Oregon,United States,US,97355,712-555-0141,Married,grace62@adventure-works.com,Female,70000,0,0,Partial College,Professional,1,2,5-10 Miles,North America,36,0,0,1,0
11067,Caleb,Carter,F,9563 Pennsylvania Blvd.,NULL,Port Orchard,WA,Washington,United States,US,98366,944-555-0167,Single,caleb40@adventure-works.com,Male,60000,0,0,Partial College,Professional,1,2,5-10 Miles,North America,33,0,1,1,0
11078,Gina,Martin,E,1349 Sol St.,NULL,Cliffside,BC,British Columbia,Canada,CA,V8Y 1L1,196-555-0114,Single,gina1@adventure-works.com,Female,40000,0,0,High School,Professional,0,2,1-2 Miles,North America,30,0,1,1,0
11081,Savannah,Baker,C,1210 Trafalgar Circle,NULL,Concord,CA,California,United States,US,94519,478-555-0117,Married,savannah39@adventure-works.com,Female,120000,2,2,Bachelors,Management,1,3,2-5 Miles,North America,43,0,1,1,0
11082,Angela,Butler,L,6040 Listing Ct,NULL,Fremont,CA,California,United States,US,94536,579-555-0195,Single,angela17@adventure-works.com,Female,130000,0,1,Graduate Degree,Management,0,3,1-2 Miles,North America,43,1,1,1,0
11083,Alyssa,Cox,F,867 La Orinda Place,NULL,Lincoln Acres,CA,California,United States,US,91950,561-555-0140,Married,alyssa37@adventure-works.com,Female,130000,0,1,Graduate Degree,Management,1,3,1-2 Miles,North America,38,1,0,1,0
11084,Lucas,Phillips,NULL,8668 St. Celestine Court,NULL,Lebanon,OR,Oregon,United States,US,97355,863-555-0172,Single,lucas7@adventure-works.com,Male,80000,2,0,Partial High School,Skilled Manual,0,2,1-2 Miles,North America,52,1,0,1,0
11085,Emily,Johnson,NULL,7926 Stephanie Way,NULL,Newport Beach,CA,California,United States,US,92625,850-555-0184,Single,emily1@adventure-works.com,Female,60000,2,0,High School,Professional,0,2,5-10 Miles,North America,52,0,1,1,0
11086,Ryan,Brown,NULL,2939 Wesley Ct.,NULL,Santa Monica,CA,California,United States,US,90401,539-555-0198,Married,ryan43@adventure-works.com,Male,70000,2,1,Partial College,Professional,1,0,0-1 Miles,North America,52,0,1,1,0
11087,Tamara,Liang,L,3791 Rossmor Parkway,NULL,Chula Vista,CA,California,United States,US,91910,178-555-0152,Married,tamara6@adventure-works.com,Female,70000,3,2,Partial College,Professional,0,0,0-1 Miles,North America,52,0,0,1,0
11088,Hunter,Davis,NULL,4308 Sand Pointe Lane,NULL,San Diego,CA,California,United States,US,92102,612-555-0141,Married,hunter64@adventure-works.com,Male,80000,2,1,Bachelors,Management,1,0,2-5 Miles,North America,52,1,1,1,0
11089,Abigail,Price,M,2685 Blackburn Ct,NULL,Long Beach,CA,California,United States,US,90802,532-555-0117,Single,abigail25@adventure-works.com,Female,80000,2,1,Bachelors,Management,1,1,2-5 Miles,North America,53,1,1,1,0
11090,Trevor,Bryant,NULL,5781 Sharon Dr.,NULL,Los Angeles,CA,California,United States,US,90012,853-555-0174,Single,trevor18@adventure-works.com,Male,90000,2,0,Partial College,Professional,1,1,2-5 Miles,North America,46,1,1,1,0
11091,Dalton,Perez,NULL,6083 San Jose,NULL,Haney,BC,British Columbia,Canada,CA,V2W 1W2,559-555-0115,Married,dalton37@adventure-works.com,Male,90000,2,0,Partial College,Professional,1,1,5-10 Miles,North America,53,0,1,1,0
11127,Jan,Edwards,NULL,9409 The Alameda,NULL,San Gabriel,CA,California,United States,US,91776,111-555-0118,Married,jan11@adventure-works.com,Female,40000,0,0,High School,Skilled Manual,1,1,5-10 Miles,North America,34,0,0,1,0
11128,Samantha,Long,NULL,1606 Alderwood Lane,NULL,Renton,WA,Washington,United States,US,98055,175-555-0139,Married,samantha35@adventure-works.com,Female,40000,0,0,High School,Skilled Manual,1,1,5-10 Miles,North America,34,0,1,1,0
11129,Julia,Wright,M,7397 Central Blvd.,NULL,Sedro Woolley,WA,Washington,United States,US,98284,456-555-0174,Single,julia17@adventure-works.com,Female,40000,0,0,High School,Skilled Manual,1,1,5-10 Miles,North America,34,1,0,0,0
11130,Caroline,Russell,L,3884 Bates Court,NULL,Lebanon,OR,Oregon,United States,US,97355,424-555-0137,Married,caroline21@adventure-works.com,Female,30000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,30,0,0,1,0
11131,Amanda,Rivera,NULL,9573 Royal Oak Rd.,NULL,Haney,BC,British Columbia,Canada,CA,V2W 1W2,918-555-0126,Married,amanda7@adventure-works.com,Female,30000,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,30,0,1,1,0
11132,Melissa,Richardson,E,6832 Fruitwood Dr,NULL,Langford,BC,British Columbia,Canada,CA,V9,928-555-0118,Single,melissa31@adventure-works.com,Female,30000,0,0,High School,Skilled Manual,0,2,5-10 Miles,North America,29,1,0,1,0
11133,Angela,Griffin,NULL,3828 Baltic Sea Ct,NULL,Lake Oswego,OR,Oregon,United States,US,97034,598-555-0174,Single,angela23@adventure-works.com,Female,30000,0,0,Partial High School,Clerical,0,2,0-1 Miles,North America,29,0,0,1,0
11135,Marcus,Harris,L,9068 Quiet Place Drive,NULL,Burlingame,CA,California,United States,US,94010,442-555-0119,Single,marcus14@adventure-works.com,Male,30000,0,0,Partial High School,Clerical,0,2,5-10 Miles,North America,30,1,0,1,0
11136,Brianna,Morgan,D,9005 Eagle Ct.,NULL,Metchosin,BC,British Columbia,Canada,CA,V9,954-555-0117,Single,brianna30@adventure-works.com,Female,40000,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,31,1,1,1,0
11137,Jasmine,Taylor,A,2457 Matterhorn Court,NULL,Spokane,WA,Washington,United States,US,99202,557-555-0146,Married,jasmine7@adventure-works.com,Female,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,31,0,0,1,0
11138,Lauren,Davis,NULL,8105 Pembrook Court,NULL,Glendale,CA,California,United States,US,91203,832-555-0121,Married,lauren23@adventure-works.com,Female,40000,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,31,0,0,1,0
11140,Javier,Alvarez,L,8935 Etcheverry Dr.,NULL,Burbank,CA,California,United States,US,91502,763-555-0134,Single,javier1@adventure-works.com,Male,30000,0,0,Partial High School,Clerical,0,2,5-10 Miles,North America,33,0,0,1,0
11141,Nicole,Ramirez,NULL,1101 C Street,NULL,Daly City,CA,California,United States,US,94015,152-555-0162,Married,nicole42@adventure-works.com,Female,40000,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,32,0,0,1,0
11142,Eduardo,Patterson,NULL,6255 Macalvey Dr.,NULL,Langford,BC,British Columbia,Canada,CA,V9,190-555-0184,Single,eduardo55@adventure-works.com,Male,40000,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,32,0,1,1,0
11143,Jonathan,Henderson,M,165 East Lane Road,NULL,Lakewood,CA,California,United States,US,90712,149-555-0113,Married,jonathan4@adventure-works.com,Male,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,33,0,0,1,0
11144,Edward,Hernandez,NULL,7607 Pine Hollow Road,NULL,Ballard,WA,Washington,United States,US,98107,178-555-0196,Single,edward48@adventure-works.com,Male,40000,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,30,1,1,1,0
11145,Jasmine,Coleman,L,1961 Oak Grove Road,NULL,Beaverton,OR,Oregon,United States,US,97005,857-555-0115,Single,jasmine46@adventure-works.com,Female,40000,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,30,1,0,1,0
11152,James,Williams,J,6827 Seagull Court,NULL,Puyallup,WA,Washington,United States,US,98371,355-555-0153,Single,james77@adventure-works.com,Male,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,34,1,0,0,0
11153,Angela,James,R,8877 Weatherly Drive,NULL,Renton,WA,Washington,United States,US,98055,847-555-0111,Married,angela34@adventure-works.com,Female,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,33,0,1,1,0
11154,Megan,Walker,G,6898 Holiday Hills,NULL,Woodburn,OR,Oregon,United States,US,97071,918-555-0186,Single,megan25@adventure-works.com,Female,40000,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,33,1,0,0,0
11155,Hunter,Robinson,J,8356 Mori Court,NULL,Burbank,CA,California,United States,US,91502,891-555-0125,Single,hunter50@adventure-works.com,Male,40000,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,34,1,0,0,0
11156,Maria,Roberts,NULL,9452 Mariposa Ct.,NULL,Lakewood,CA,California,United States,US,90712,158-555-0199,Single,maria47@adventure-works.com,Female,40000,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,34,1,0,1,0
11157,Hannah,Long,E,1832 Preston Ct.,NULL,Tacoma,WA,Washington,United States,US,98403,974-555-0177,Married,hannah32@adventure-works.com,Female,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,34,0,0,1,0
11158,Jason,Wright,K,6771 Bundros Court,NULL,San Gabriel,CA,California,United States,US,91776,694-555-0176,Single,jason46@adventure-works.com,Male,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,34,1,1,1,0
11159,Brianna,Hughes,A,6793 Bonifacio St.,NULL,Woodland Hills,CA,California,United States,US,91364,319-555-0183,Single,brianna57@adventure-works.com,Female,40000,0,0,High School,Skilled Manual,0,2,1-2 Miles,North America,34,0,0,1,0
11160,Maurice,Tang,M,2886 Chaparral Court,Space # 45,Concord,CA,California,United States,US,94519,947-555-0172,Single,maurice4@adventure-works.com,Male,40000,0,0,Partial College,Skilled Manual,0,1,5-10 Miles,North America,36,1,0,1,0
